Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
VHC,HOSE,Sản phẩm thực phẩm,"Cơ cấu doanh thu theo sản phẩm (2022)
Cá tra fillet (65%)
Sản phẩm phụ (18%)
Collagen & Gelatin (7%)
Sản phẩm GTGT (1%)
Bánh phồng (3%)
Sản phẩm từ gạo (1%)
Khác (3%)","Diện tích vùng nuôi
• Sở hữu 610 ha vùng nuôi thông qua công ty con, cung cấp được khoảng 70-75% sản lượng cá nguyên liệu. Còn lại, nguồn cung đến từ các hộ nuôi liên kết, chủ yếu đến từ Đồng Tháp, An Giang, Cần Thơ, Bến Tre

Chi phí nuôi trồng cá tra
• Thức ăn (86%): bã đậu nành, bột cá nhập khẩu từ Pilmico International (NM cũ của VHC)
• Giống (6%)
• Khác (8%): Thuốc TYTS (2.5%), Nhiên liệu (0.7%),...","Nhá máy sản xuất
• Nhà máy chế biến: công suất 500 tấn nguyên liệu/ngày
• Xí nghiệp sản xuất cá tra fillet: 2 NM kho lạnh với sức chứa 20 nghìn pallet với công nghệ nuôi cá tuần hoàn không thay nước tại vùng nuôi Tân Hưng, Long An và chu kì nuôi cá kéo dài 6-8 tháng
• Nhà máy C&G (Da cá): Công suất NM C&G 3.5 nghìn tấn/năm (sử dụng khoảng 30% công suất)
• Xí nghiệp sản phẩm phụ (Dè cá): NM luyện dầu cá tại Vĩnh Phước, NM chế biến bột cá, ứng dụng NM công nghệ sx dầu ǎn","Thị trường xuất khẩu cá tra (2022)
Kim ngạch xuất khẩu đạt 364,7 triệu USD, (tăng 36% yoy) VHC chiếm 46% kinh ngạch xuất khẩu cá tra vào Mỹ của Việt Nam. 88% tại Anh và 26,5% tại Canada.

Sản phẩm GTGT
Phục vụ trong nước, 10 dòng sản phẩm đa dạng từ cá tra, tôm, cá hồi, basa, phân phối tại mega market, lotter mart,..

Sản phẩm Collagen&Gelatin
Xuất khẩu sang một số thị trường như: Singapore, châu Âu, Mỹ, Châu Á. Đem lại sản phẩm collagen có mức biên lợi nhuận 45%-50%.

Phụ phẩm
Đầu cá, nội tạng, xương cá dùng chế biến bột cá; mỡ cá chiếm 26- 30% con cá dùng để sản xuất dầu ăn, dầu biodiesel; vây cá và bong bóng dùng làm thức ăn","Kế hoạch kinh doanh 2023 và giai đoạn tới
• Năm 2023, kế hoạch doanh thu đạt 11.500 tỷ đồng (-13%) và LNST 1.000 tỷ đồng (-49% yoy).
• Phân phối lợi nhuận năm 2022 dự kiến cổ tức 20% bằng tiền.
• Phát hành hơn 3,6 triệu cổ phiếu ESHOP với giá 10.000 đồng cho cán bộ công nhân viên.

Kế hoạch đầu tư năm 2023: tổng 1.000 tỷ đồng
• Đầu tư thêm 1 line sản xuất Gelatin.
• Tiếp tục hoàn thiện nhà máy Chế biến trái cây Thành Ngọc, và nhà máy thức ăn thủy sản Feedone.
• Mở rộng vùng nuôi mới.
• Cải tạo nhà máy Vĩnh Phước, Thanh Bình, Vĩnh Hoàn, Sa Giang."
HPX,HOSE,Quản lý và Phát triển bất động sản,No Data,No Data,No Data,No Data,No Data
DAG,HOSE,Hóa chất,No Data,No Data,No Data,No Data,No Data
PVX,UPCOM,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
Bất động sản (0,4%); Dịch vụ (5,3%); Xây dựng (92,6%); Khác (1,6%).",No Data,No Data,"Xây lắp chuyên ngành dầu khí
PETROCONs là doanh nghiệp chủ lực của ngành Dầu khí trong lĩnh vực xây lắp chuyên ngành dầu khí.

Xây dựng công nghiệp & dân dụng
• Xây dựng các nhà máy khí điện, nhiệt điện, lắp đặt hệ thống đường dây tải điện.
• Đầu tư, xây dựng các nhà máy chế tạo cơ khí.
• PETROCONs cũng tham gia đầu tư, tư vấn thiết kế và xây dựng nhiều công trình dân dụng, đặc biệt là nhà kết cấu thép, nhà cao tầng của ngành dầu khí và nhiều địa phương trên cả nước.

Sản xuất công nghiệp
Kinh doanh vật liệu xây dựng và cơ khí chế tạo chuyên ngành dầu khí và các sản phẩm công nghiệp (các nhà máy bê tông, thủy điện, điện khí).",No Data
IBC,HOSE,Dịch vụ tiêu dùng đa dạng,,,,,
BIG,UPCOM,Quản lý và Phát triển bất động sản,,,,,
BMF,UPCOM,Kinh doanh xăng dầu,,,,,
VSE,UPCOM,Kỹ thuật xây dựng,,,,,
LGM,UPCOM,"Hàng dệt, may và phụ kiện",,,,,
ODE,UPCOM,Phương tiện truyền thông,,,,,
HMS,UPCOM,Kỹ thuật xây dựng,,,,,
DCS,UPCOM,Hàng gia dụng,,,,,
GDT,HOSE,Hàng gia dụng ,"Cơ cấu doanh thu theo nhóm hàng (2022)
Hàng bếp (54%), Hàng gia dụng (38%), Hàng đồ chơi (3%), Bàn ghế trẻ em và khác (4%).

Cơ cấu doanh thu theo thị trường (2022)
Xuất khẩu chiếm (84%).
• Châu Á (74%).
• Châu Âu (22%).
• Châu Mỹ (3%).
• Châu Úc (1%).
Nội địa chiếm (16%)
• Hồ Chí Minh (75%).
• Hà Nội và các tỉnh phía Bắc (13%).
• Miền Nam và Đông Nam Bộ (6%).","Gỗ cao su
• Chiếm 40%-45% giá vốn hàng bán.
• Nguồn cung cấp 100% đến từ nguồn nội địa. (Chưa hoàn toàn có chứng nhận FSC).
• GDT thường duy trì mức gỗ cao su tích trữ khoảng 5000-6000 m3 gỗ, tương đương mức nguyên liệu dùng cho 6 tháng.

Chi phí lao động
Chiếm 44% chi phí sản xuất.","Năng lực sản xuất:
• Nhà máy chế biến gỗ ở HCM: Công suất 5.000 m3 gỗ thành phẩm/năm.
• Nhà máy tại Tân Hiệp, Bình Dương: Công suất 38.000 m3 gỗ thành phẩm/năm.","Mảng kinh doanh sản phẩm gỗ nhỏ (sản phẩm đồ nhà bếp, đồ chơi)
• Đây là thị trường ngách, với mức độ cạnh tranh thấp.
• Mùa kinh doanh cao điểm của GDT thường rơi vào nửa cuối năm.

Mạng lưới phân phối nội địa
Trên 2.895 điểm bán hàng (2.053 siêu thị TTTM, 842 đại lý bán lẻ).

Thị trường xuất khẩu
• 2 thị trường xuất khẩu chính của GDT chính là Nhật Bản và Hàn Quốc.
• Các khách hàng lớn của tiêu biểu của GDT: Lotte Mart, Daiso, Nitori, Fuji, Fair Friend, Dong Yang Korea và H1 Global...
• Sản phẩm của GDT đáp ứng được tiêu chuẩn ESG, BSCI (châu Âu) và C-TPAT (Mỹ).",(No data)
GEG,HOSE,Tiện ích điện,"Cơ cấu doanh thu bán điện (2022)
Điện mặt trời (38,9%), Thủy điện (18,7%), Điện gió (33%), Khác (0,4%).","Với Hoạt động chính là Điện tái tạo, Thời tiết (Thủy văn, Sức gió, Nắng) ảnh hưởng rất
lớn đến hoạt động kinh doanh của GEG.","Thủy điện
Tổng công suất thiết 81,1 MW
Thủy điện TTC la Đrăng 1 (Gia Lai, 2002):
• Nằm trên Sông la Đrăng.
• Công suất thiết kế: 0,6 MW.
Thủy điện TTC la Đrăng 2 (Gia Lai, 1989):
• Nằm trên Sông la Đrăng.
• Công suất thiết kế: 1,2 MW.
Thủy điện TTC la Đrăng 3 (Gia Lai, 2005):
• Nằm trên Sông la Đrăng.
• Công suất thiết kế: 1,6 MW.
Thủy điện TTC la Punch 3 (Chư Prông, Gia Lai, 2009): Công suất thiết kế 6,6 MW.
Thủy điện TTC la Muer 3 (Chư Prông, Gia Lai, 2005): Công suất thiết kế 1,8 MW.
Thủy điện TTC Đắk Pi Hao 1 (Mang Yang, Gia Lai, 2014): Công suất thiết kế 5 MW.
Thủy điện TTC Đắk Pi Hao 2 (Mang Yang, Gia Lai, 2008): Công suất thiết kế 10 MW.
Thủy điện H""Chan (Gia Lai, 2006):
• Thủy điện thuộc hệ thống thủy điện thuộc lưu vực sông Ba, nằm trên sông A Yun.
• Công suất thiết kế: 12 MW.
Thủy điện H""Mun (Gia Lai, 2010):
• Thủy điện thuộc hệ thống thủy điện thuộc lưu vực sông Ba, nằm trên sông A","100% Điện sản xuất của GEG được EVN thu mua.
• Sản lượng điện thủy điện (2022): 358 triệu kWh.
• Sản lượng điện Mặt trời (2022): 377 triệu kWh.
• Sản lương điện gió (2022): 319 triệu kWh.","Kế hoạch hoạt động năm 2023 và giai đoạn tới
• 2023 kế hoạch: doanh thu 2023 2.9 ngàn tỷ đồng, (+26% yoy), Lợi nhuận sau thuế chỉ 155 tỷ đồng (-63% yoy). Trong đó, doanh thu từ sản xuất kinh doanh điện vẫn chiếm tỷ trọng lớn nhất 2.47 ngàn tỷ đồng.
• GEG dự kiến năm 2023 sẽ đạt tổng sản lượng điện 1.29 tỷ kWh.
• ĐHĐCĐ cũng thông qua phương án phát hành cổ phiếu trả cổ tức 2022 cho cổ đông, tỷ lệ 100:6 (cổ đông sở hữu 100 cp được nhận 6 cp mới).
• Theo Lãnh đạo, sắp tới sẽ tìm kiếm các deal M$A ưu tiên các doanh nghiệp thủy điện có hiệu quả hoạt động cao.

Các dự án mới
• Dự án điện gió Tân Phú Đông 1 đã hoàn thành xây dựng đang bước vào tiến độ pháp lý cuối cùng khi đã đàm phán 2 vòng với EVN (trên tổng tiến độ đàm phán 4 vòng), nếu thuật lợi Dự án có thể chuyển tiếp vào cuối quý 2 2023.
• Đối với dự án điện mặt trời TTC Đức Huệ 2 tại Long An, những bước cuối cùng hoàn thiện pháp lý cơ bản đã hoàn tất, gồm chủ trương đầu tư, thiết kế cơ sở, thiết kế 1:500."
GEX,HOSE,Tập đoàn công nghiệp,"Cơ cấu doanh thu (2022)
• Thiết bị điện (49,63%)
• Vật liệu xây dựng (29,78%)
• Thuê bất động sản, Hạ tầng khu công nghiệp (15,4%)
• Hợp đồng xây dựng (0,61%)
• Sản xuất và kinh doanh điện và nước (4,79%) 
• Khác (0,15%).

Cơ cấu lợi nhuận gộp (2022)
• Thiết bị điện (29,5%)
• Vật liệu xây dựng (32,83%)
• Thuê bất động sản, Hạ tầng khu công nghiệp (26,56%)
• Hợp đồng xây dựng (0,33%)
• Sản xuất và kinh doanh điện và nước (10,57%) 
• Khác (0,21%).","Đầu vào
• Mảng thiết bị điện: Nhựa, đồng, nhôm
• Mảng vật liệu xây dựng: Đất sét, tràng thạch ..
• Mảng năng lượng: Thời tiết","Số lượng lao động (đầu 2023) GEX có 9870 người.
Công suất mảng thiết bị điện
CADIVI:
EMIC:
HEM:
CFT:
• 60.000 tấn đồng/năm.
• 40.000 tấn nhôm/năm.
• 20.000 tấn hạt nhựa PVC/năm (nguyên liệu để sản xuất dây cáp điện - chủ yếu cung cấp nội bộ cho CADIVI).
• Tổng diện tích mặt bằng nhà máy sản xuất: 80.000m2.
• Công suất 2,5 triệu sản phẩm thiết bị điện/năm, bao gồm: công tơ điện, máy biến dòng điện, máy biến áp, đồng hồ nước,...
• Là doanh nghiệp hàng đầu tại Việt Nam trong lĩnh vực thiết kế, chế tạo động cơ điện, máy phát điện, máy biến thế, tủ bảng điện, quạt công nghiệp...
• Diện tích nhà sưởng 100.000m2.
• Dây chuyền sản xuất đồng Rod 54.000 tấn/năm theo công nghệ SCR, Southwire - Hoa Kỳ.
• CFT là một trong những nhà cung cấp dây đồng kỹ thuật điện lớn ở Đông Nam Á.
THIBIDI:
• Máy biến áp 1 pha (50Hz, công suất 10 đến 167kVA): 15.000 máy/năm.
• Máy biến áp 3 pha (50 Hz, công suất 30 đến 10.000kVA): 9.600 máy/năm.","Mảng thiết bị điện 
• Hệ sinh thái của GEX hỗ trợ rất tốt về đầu ra cho hoạt động kinh doanh của các công ty thành viên.
• Dây cáp điện Việt Nam CADIVI có 146 đại lý trên cả nước THIBIDI là công ty sản xuất máy biến áp lớn nhất Việt Nam. Với các đối tác lớn như ENV, Posco, Nippon Steel...
• CFT dây chuyền sản xuất đồng Rod 54.000 tấn/năm theo công nghệ SCR, Southwire - Hoa Kỳ, sản phẩm của CFT được sử dụng trong các ngành sản xuất: dây cáp điện, dây ô tô, dây điện từ, dây hàn lon... cho thị trường trong nước và nước ngoài.
• EMIC đã thực hiện tham gia một cách toàn diện vào thị trường công tơ PLC của EVNSPC với đầy đủ chủng loại sản phẩm và hoàn toàn đáp ứng được yêu cầu kỹ thuật về trên thị trường EVNSPC.

Mảng sản xuất điện 100% sản lượng điện thương phẩm do EVN thu mua

Mảng hạ tầng
Tổng số diện tích cho thuê hạ tầng KCN (VGC) cả năm đạt khoảng 168 ha (2022).
Viwasupco: Sản lượng nước đạt 106.661.044 m3 vào năm 2022;","Kế hoạch kinh doanh 2023 và giai đoạn tới
• Duy trì mảng thiết bị điện và vật liệu xây dựng.
• Tập trung phát triển 2 mảng đó là Bất động sản khu công nghiệp và năng lượng tại tái tạo."
GIL,HOSE,"Hàng dệt, may và phụ kiện","Cơ cấu doanh thu (2022)
Dệt may (97.81%), Tài chính (2%), Khác (0.19%)

Cơ cấu doanh thu theo khách hàng (2022)
Amazon (76%), IKEA (22%), Khác (2%)","Đầu vào
• Nguyên vật liệu chủ yếu: Vải
• Nhập khẩu từ Trung Quốc","Nhà máy sản xuất
• NM Bình Thạnh: 21 chuyền
• NM Thạnh Mỹ: 17 chuyền
• Các Nhà máy vệ tinh: 120 chuyền","Sản phẩm chính
Các mặt hàng như: đồ dùng trong gia đình, túi xách, balo, đồ dùng ngoài trời, quần áo...

Khách hàng
• 2 đối tác chủ yếu là Amazon và IKEA. Trong đó, Amazon Robotics: GIL chiếm hơn 50% tỷ trọng và là khách hàng lớn nhất.
• Sản phẩm nhập khẩu của Amazon Robotics là Fabric Pods Array – kệ chuyên dụng đựng hàng hóa để Amazon robots vận chuyển và sắp xếp trong các Sortable Fulfillment Center",(No data)
GKM,HNX,Vật liệu xây dựng,"Cơ cấu doanh thu (2022)
Dệt may (97.81%), Tài chính (2%), Khác (0.19%)

Cơ cấu doanh thu theo khách hàng (2022)
Amazon (76%), IKEA (22%), Khác (2%)","Nguyên vật liệu chính
Để sản xuất là đá mạt, phụ phẩm của ngành khai thác đá xây dựng.","Năng lực sản xuất
• Công suất thiết kế: Ước đạt 1.5 triệu m2 thành phẩm/năm, gồm 6 dây chuyền tự động công nghệ tiên tiến trong sx đá ốp lát cao cấp
• NM số 1 tại KCN Châu Sơn: mặt hàng chính là gạch xây không nung và gạch lát ngoài trời cao cấp
• NM số 2 tại thị trấn Kiện Khê: mặt hàng chính là Đá nhân tạo gốc Thạch anh-Conslab Thạch Anh
• NM số 3 tại KCN Châu Sơn: mặt hàng chính là nhôm thanh định hình và các sản phẩm ứng dụng như cửa sổ, cửa cuốn,...","Sản phẩm chủ đạo
• Gạch không nung, Đất ốp lát cao cấp, Đá ốp lát thạch anh đồng thời mở rộng mặt hàng kinh doanh sang nhóm nhôm thanh định hình và các sản phẩm ứng dụng nhằm xây dựng ""hệ sinh thái nguyên vật liệu xây dựng"".

Địa bàn kinh doanh
• Tập trung chủ yếu tại các TP lớn thông qua các Chi nhánh của Công ty đặt tại TP.Hà Nội, TP.HCM, TP.Đà Nẵng. Đồng thời, sản phẩm của công ty cũng được phân phối rộng khắp toàn quốc","Mục tiêu của công ty
Ngành sản xuất nguyên vật liệu xây dựng:
Đá Thạch Anh Khang Minh: Tiếp tục mở rộng hệ thống phân phối va Showroom tên toàn quốc với sản phẩm chiến lược Cầu Thang Thạch Anh Đá quý và Lát sàn Thạch Anh Đá quý

Ngành Bất động sản
Đầu tư thị trường BĐS nhà ở và du lịch cao cấp"
HD6,UPCOM,Quản lý và Phát triển bất động sản,(No data),(No data),(No data),(No data),(No data)
HDC,HOSE,Quản lý và Phát triển bất động sản,(No data),(No data),(No data),(No data),(No data)
HDG,HOSE,Tập đoàn công nghiệp,(No data),(No data),(No data),(No data),(No data)
HDM,UPCOM,"Hàng dệt, may và phụ kiện","Cơ cấu doanh thu (2022)
Sợi (37%); May (59%); Khác (4%).","Mảng Sợi
Bông được nhập khẩu từ Brazil, Tây Phi,... Xơ được nhập khẩu từ Trung Quốc,...","Năng lực sản xuất
• Mảng Sợi: 4 dây chuyền nhập khẩu từ Đức, Thụy Sỹ, Nhật Bản với công suất hơn 64 nghìn cọc sợi với sản lượng sản xuất hàng năm 12.5 nghìn tấn sợi
• Mảng Dệt-Nhuộm: trang thiết bị hiện đại đến từ các nước Mỹ, EU, Đài Loan, Nhật Bản với sản lượng sản xuất hàng năm 1.500 tấn vải các loại
• Mảng May: 5 nhà máy may với 86 chuyền may được trang bị các thiết bị hiện đại, được nhập khẩu từ Đài Loan, Nhật, Đức,...Mỗi năm sản lượng sản xuất 30 triệu sản phẩm","Mảng Sợi
• Bao gồm 2 loại sợi dệt thoi và dệt kim, với các loại sợi CVC, TC, Cotton chải thô,...
• Chủ yếu xuất khẩu sang các thị trường chính như Thổ Nhĩ Kỳ, Bồ Đào Nha, Hàn Quốc, Nhật Bản,...

Mảng Dệt-Nhuộm
• Các loại Filament, TC, Coton phục vụ cho các đơn hàng FOB của ngành May công ty

Mảng May
• Các sản phẩm như Áp Polo-Shirt, T-Shirt, Jacket,.. với các nhãn hiệu như: Callaway, Grand Slam,...
• Chủ yếu xuất khẩu sang các thị trường Mỹ, Nhật Bản, EU, Đài Loan, Hàn Quốc,...",(No data)
HNG,HOSE,Sản phẩm thực phẩm,"Cơ cấu doanh thu và lợi nhuận gộp (2022)
Bán trái cây
• Doanh thu: 66%.
• Lợi nhuận gộp: Lỗ 916 tỷ.
Bán mủ cao su
• Doanh thu: 31%.
• Lợi nhuận gộp: Lỗ 60 tỷ.
Dịch vụ, hàng hóa khác
• Doanh thu: 3%.
• Lợi nhuận gộp: Lãi 5 tỷ.","Diện tích chia theo khu vực
• Lào: 27.383 ha, trồng chuối, dứa, cao su, cây ăn trái khác
• Campuchia: 8.374 ha, trồng chuối, xoài, cao su

Diện tích chia theo loại cây
• Tổng diện tích cây ăn trái: 11.091 ha, trong đó diện tích trồng chuối đạt 5.187 ha
• Diện tích cao su: 47122 ha cao su (gồm CTLK), trong đó 20.361 ha tại Lào, 4.972 tại Việt Nam và 21.789 ha tại Campuchia","Công suất sản xuất
• 01 nhà máy chế biến mủ cao su: Công suất 25 nghìn tấn/năm tại Lào

Sản lượng sản xuất (2022)
• Khai thác mủ cao su đạt 7130 tấn.
• Sản lượng trái cây thu hoạch 50.877 tấn.","Thị trường tiêu thụ của HNG
• Thị trường Trung Quốc, với dân số hơn 1.4 tỷ người, đây là thị trường khổng lồ với nhu cầu lên tới 4 triệu tấn hoa quả, tương đương với 16 tỷ USD HAGL Agrico chủ yếu xuất khẩu chuối qua đường biển và đường bộ vào Trung Quốc và sang một số nước khác như Hàn Quốc và Singapore","Kế hoạch kinh doanh trong giai đoạn tới
Trong 2023, HNG tập trung cơ cấu lại tài chính doanh nghiệp.
Mục tiêu 2025 lãi hơn 900 tỷ đồng.
• Mảng Cây ăn trái 12.248 ha.
• Mảng chăn nuôi bò quy mô 18.000 con."
HNM,UPCOM,Sản phẩm thực phẩm,"Cơ cấu thu nhập (2022)
Các sản phẩm sữa (84,4%), Khác (15.6%)","Sữa tươi nguyên liệu:
Thu mua từ các hộ dân ở Hà Nội, Vĩnh Phúc, Hưng Yên.","Năng lực sản xuất
1 nhà máy chế biến sữa tại Huyện Mê Linh, Vĩnh Phúc.","2 nhóm sản phẩm chính
• Nhóm sản phẩm sữa tiệt trùng với thương hiệu IZZI.
• Nhóm sản phẩm sữa chua với thương hiệu Yoha và Yotuti.
Tập trung vào tập khách hàng trẻ em.",(No data)
HOM,HNX,Vật liệu xây dựng,"Cơ cấu doanh thu (2022)
Xi măng và Clinker (99,9%), Khác (0,01%)","Nguyên vật liệu chính
Do VICEM quản lý các thành viên cung cấp than cám và thạch cao
• Đá vôi, đất sét (tự khai thác)
• Than cám, thạch cao (mua từ các thành viên cung cấp nội bộ)

Chi phí năng lượng
Chiếm tỷ trọng lớn (42%), là yếu tố ảnh hưởng nhất đến giá thành sản phẩm. Trong đó, 25% than cám và 17% điện

Cơ cấu chi phí nguyên vật liệu (2019)
• Đá vôi, Đá sét: 33%, do Mỏ Hoàng Mai B cung cấp (cách nhà máy 3 km), Mỏ Quỳnh Vinh (cách nhà máy 1 km)
• Than cám & Nhiên liệu: 48%, do CTCP Vật tư vận tải Xi măng cung cấp (VTV)
• Các thành phần nguyên liệu khác: 19%, do CTCP Thạch cao xi măng (TXM), Bao bì Bỉm Sơn,...

Cơ cấu chi phí sản xuất kinh doanh (2019)
Đá vôi, đá sét (18%), Than cám & Nhiên liệu (25%), Các thành phần nguyên liệu khác (10%)","Năng lực sản xuất
• NM xi măng Vicem Hoàng Mai: 1.26 triệu tấn Clinker/năm, tương đương 1.4 triệu tấn xi măng/năm.
• Công nghệ sản xuất xi măng: phương pháp quay khô, lò quay do hãng FCB (Cộng hòa Pháp) chuyển giao công nghệ. Sử dụng công nghệ sản xuất tương đồng với mặt bằng chung.
","Sản phẩm chính
• Gồm: Clinker và Xi măng, chiếm gần 100% tổng doanh thu. Còn lại là các sản phẩm phụ gồm: gạch block, bê tông tương và bao bì phế liệu. Trong đó, sản phẩm xi măng poóc lăng hỗn hợp PCB40 được tin dùng nhiều năm qua
• Đánh giá: Sản phẩm thiếu sự khác biệt lý các thành viên cung cấp than cám và thạch cao

Đối thủ cạnh tranh
Là các doanh nghiệp sản xuất xi măng không trực thuộc VICEM tập trung tại tỉnh Nghệ An (thị trường chính) và các tỉnh lân cận. Một số doanh nghiệp đối thủ: Nghi Sơn, Vissai Sông Lam, Long Sơn. HOM không phải chịu sự cạnh tranh trực tiếp với Bỉm Sơn hay các doanh nghiệp VICEM khác nhờ chính sách phân vùng tiêu thụ giữa các thành viên VICEM. Tuy nhiên, điều này khiến cho khả năng mở rộng dư địa phát triển tại thị trường nội địa bị hạn chế.

Thị trường tiêu thụ
• Nội địa: Hoạt động kinh doanh trải dài dọc Miền Trung và Tây Nguyên, đặc biệt Nghệ An, Hà Tĩnh, Thanh Hóa là địa bàn tiêu thụ chính.
• Xuất khẩu: 2 thị trường xuất khẩu chính là Phillipines và Trung Quốc. Tuy nhiên, tỷ trọng xuất khẩu vẫn bị hạn chế do chi phí cao trong khâu vận chuyển.

Thị phần
Chiếm khoảng 2% thị phần tiêu thụ xi măng cả nước, là doanh nghiệp có quy mô trung bình và là đơn vị trực thuộc của Tổng công ty Công nghiệp Xi măng Việt Nam (VICEM)

Hệ thống phân phối
Thị trường tiêu thụ của xi măng Vicem Hoàng Mai từ Nam Thanh Hóa đến Miền

Dự án","Dự án Xi Măng Hoàng Mai 2-Giai đoạn 1:
• Công suất thiết kế để sản xuất Clinker là 6 nghìn tấn clinker/ngày
• Sản xuất xi măng là 1.8 triệu tấn xi măng các loại/năm
• Tổng mức đầu tư 6.124 tỷ.
• Dự án sẽ được xây dựng ở tỉnh Nghệ An.
• Hiện tại dự án đang ở giai đoạn xin chủ trương đầu tư

Dự án tận dụng nhiệt thừa phát điện:
• Đầu tư hệ thống phát điện sử dụng nhiệt khí thải với tổng công suất lắp đặt
7MW

Tổng mức đầu tư 256 tỷ.
• Hiện dự án đang trong quá trình xin phê duyệt chủ trương đầu tư dự án"
